intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),posted_time,early_applicant,apply_links
Event And Marketing,ClearTax,Actively hiring,Bangalore,,20000.0,6,1 week ago,,https://internshala.com/internship/detail/event-and-marketing-internship-in-bangalore-at-cleartax1750767872
Mobile App Development,Thomas Cook,Actively hiring,Mumbai,,10000.0,3,1 week ago,,https://internshala.com/internship/detail/mobile-app-development-internship-in-mumbai-at-thomas-cook1750767748
Store Manager,Electrosmart Systems,,Gurgaon,,17000.0,6,1 week ago,,https://internshala.com/internship/detail/store-manager-internship-in-gurgaon-at-electrosmart-systems1750767630
Business Development (Sales),Techdome Solutions Private Limited,Actively hiring,"Indore,Hyderabad",,12000.0,6,1 week ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-multiple-locations-at-techdome-solutions-private-limited1750767581
Business Development (Sales),Psyche Panacea,Actively hiring,"Delhi,Pune,Mumbai,Noida,Bangalore",₹ 3,18000.0,3,1 week ago,,https://internshala.com/internship/detail/work-from-home-business-development-sales-internship-at-psyche-panacea1750767531
Founders Associate,Dextren Technologies,Actively hiring,Workfromhome,,10000.0,6,1 week ago,,https://internshala.com/internship/detail/work-from-home-founders-associate-internship-at-dextren-technologies1750767396
Industrial And Production Engineering,AIR HR Solutions,Actively hiring,Mumbai,,10000.0,6,1 week ago,,https://internshala.com/internship/detail/industrial-and-production-engineering-internship-in-mumbai-at-air-hr-solutions1750767320
Placement Officer,LineupX,,Mumbai,,12000.0,6,1 week ago,Be an early applicant,https://internshala.com/internship/detail/placement-officer-internship-in-mumbai-at-lineupx1750767240
Online Kannada Tutor,Narigiri's Connect To Universe Private Limited,Actively hiring,Workfromhome,,8000.0,6,1 week ago,Be an early applicant,https://internshala.com/internship/detail/work-from-home-part-time-online-kannada-tutor-internship-at-narigiris-connect-to-universe-private-limited1750767228
Founders Office,RegisterKaro,Actively hiring,Gurgaon,,20000.0,3,1 week ago,,https://internshala.com/internship/detail/founders-office-internship-in-gurgaon-at-registerkaro1750767136
Business Development (Sales),Elite Skills Career Hub,,Workfromhome,,2000.0,3,1 week ago,,https://internshala.com/internship/detail/work-from-home-business-development-sales-internship-at-elite-skills-career-hub1750767057
Social Media Marketing,Mister Edtech Private Limited,,Indore,,9000.0,3,1 week ago,,https://internshala.com/internship/detail/social-media-marketing-internship-in-indore-at-mister-edtech-pvt-ltd1750767028
Entrepreneur In Residence (EIR),LevelApp,Actively hiring,Workfromhome,₹ 5,15000.0,3,1 week ago,,https://internshala.com/internship/detail/work-from-home-entrepreneur-in-residence-eir-internship-at-levelapp1750766932
Business Development (Sales),Soul Works,,Mumbai,,30000.0,,1 week ago,Be an early applicant,https://internshala.com/internship/detail/business-development-sales-internship-in-mumbai-at-soul-works1750766845
State Insurance Officer,Axi Workforce Pvt Ltd,Actively hiring,"Doda,Udhampur,Jammu,Reasi,Kupwara,Kathua,Baramula,Rajauri",,15000.0,6,1 week ago,Be an early applicant,https://internshala.com/internship/detail/state-insurance-officer-internship-in-multiple-locations-at-axi-workforce-pvt-ltd1750766699
Human Resources (HR),RegisterKaro,Actively hiring,Gurgaon,,15000.0,,1 week ago,,https://internshala.com/internship/detail/human-resources-hr-internship-in-gurgaon-at-registerkaro1750766677
E-Commerce Coordinator,Araku Originals Private Limited,Actively hiring,Bangalore,₹ 2,15000.0,3,1 week ago,,https://internshala.com/internship/detail/e-commerce-coordinator-internship-in-bangalore-at-araku-originals-private-limited1750766649
Business Development Associate,Stirring Minds,Actively hiring,Delhi,₹ 3.5,19000.0,6,1 week ago,,https://internshala.com/internship/detail/business-development-associate-internship-in-delhi-at-stirring-minds1750766104
Human Resources (HR),Wirality Media Private Limited,,Bangalore,,10001.0,6,1 week ago,,https://internshala.com/internship/detail/human-resources-hr-internship-in-bangalore-at-wirality-media-private-limited1750758861
Content and Social Media Manager,Dextren Technologies,Actively hiring,Workfromhome,,10000.0,6,1 week ago,,https://internshala.com/internship/detail/work-from-home-content-and-social-media-manager-internship-at-dextren-technologies1750766030
Sales and Marketing,Morphedo Technologies Private Limited,,Noida,,10000.0,3,1 week ago,,https://internshala.com/internship/detail/part-time-sales-and-marketing-internship-in-noida-at-morphedo-technologies-private-limited1750765998
Digital Marketing,Mars Elevator,Actively hiring,Gurgaon,,15000.0,3,1 week ago,,https://internshala.com/internship/detail/digital-marketing-internship-in-gurgaon-at-mars-elevator1750758870
Digital Marketing,Maa Sarala Agro Foods,Actively hiring,Workfromhome,,5100.0,2,1 week ago,,https://internshala.com/internship/detail/work-from-home-digital-marketing-internship-at-maa-sarala-agro-foods1750765776
Digital Marketing,HIVANA,,Bhubaneswar,,5000.0,4,1 week ago,Be an early applicant,https://internshala.com/internship/detail/part-time-digital-marketing-internship-in-bhubaneswar-at-hivana1750765485
Content Writing,Whalesbook Private Limited,Actively hiring,Workfromhome,,1000.0,3,1 week ago,,https://internshala.com/internship/detail/work-from-home-part-time-content-writing-internship-at-whalesbook-private-limited1750765295
Full Stack Development,Wubble AI,Actively hiring,Workfromhome,,2000.0,3,1 week ago,,https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-wubble-ai1750765200
Business Development (Sales) Manager,Matrix Exports,,Bangalore,,10002.0,6,1 week ago,Be an early applicant,https://internshala.com/internship/detail/business-development-sales-manager-internship-in-bangalore-at-matrix-exports1750765170
Office Assistant Cum Training Placement Officer,Vidhya Institute,,Udaipur,,10000.0,3,1 week ago,Be an early applicant,https://internshala.com/internship/detail/office-assistant-cum-training-placement-officer-internship-in-udaipur-at-vidhya-institute1750765147
Telemarketing,CyberFrat,Actively hiring,Mumbai,,8000.0,4,1 week ago,Be an early applicant,https://internshala.com/internship/detail/telemarketing-internship-in-mumbai-at-cyberfrat1750765004
AI Dataset Photographer,Indiaum Solutions,Actively hiring,Workfromhome,,10000.0,2,1 week ago,,https://internshala.com/internship/detail/work-from-home-ai-dataset-photographer-internship-at-indiaum-solutions1750765015
Business Development (Sales),Quiklee,Actively hiring,Hyderabad,,25000.0,6,1 week ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-hyderabad-at-quiklee1750764119
Front End Development,KasperTech,Actively hiring,Workfromhome,,15000.0,3,1 week ago,,https://internshala.com/internship/detail/work-from-home-front-end-development-internship-at-kaspertech1750764858
Business Development (Sales),Lime Learn Eduserv Private Limited,Actively hiring,Pune,,15000.0,2,1 week ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-pune-at-lime-learn-eduserv-private-limited1750764805
Industrial Design,Kyoren Labs Private Limited,Actively hiring,"NaviMumbai,Thane",,3000.0,3,1 week ago,,https://internshala.com/internship/detail/industrial-design-internship-in-multiple-locations-at-kyoren-labs-private-limited1750764783
Fashion Design,Ultimate Threads,Actively hiring,Mumbai,,12000.0,6,1 week ago,,https://internshala.com/internship/detail/fashion-design-internship-in-mumbai-at-ultimate-threads1750764763
Digital Marketing,Centrum Group,,Mumbai,,15000.0,6,1 week ago,,https://internshala.com/internship/detail/digital-marketing-internship-in-mumbai-at-centrum-group1750764757
Market Research,MavensWorld Training & Advisory Services Private Limited,,Gurgaon,,10000.0,6,1 week ago,,https://internshala.com/internship/detail/market-research-internship-in-gurgaon-at-mavensworld-training-advisory-services-private-limited1750757448
Corporate Sales Executive,Stirring Minds,Actively hiring,Delhi,₹ 3.5,19000.0,6,1 week ago,,https://internshala.com/internship/detail/corporate-sales-executive-internship-in-delhi-at-stirring-minds1750764704
State Insurance Officer,Axi Workforce Pvt Ltd,Actively hiring,Bandipore,,15000.0,6,1 week ago,Be an early applicant,https://internshala.com/internship/detail/state-insurance-officer-internship-in-bandipore-at-axi-workforce-pvt-ltd1750764709
Content Binger,SoTrue Technologies Private Limited,Actively hiring,Pune,,15000.0,3,1 week ago,,https://internshala.com/internship/detail/content-binger-internship-in-pune-at-sotrue-technologies-private-limited1750764702
Business Development (Sales),Kyoren Labs Private Limited,Actively hiring,"Thane,NaviMumbai,Mumbai",₹ 5,17000.0,6,1 week ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-multiple-locations-at-kyoren-labs-private-limited1750764556
Business Development (Sales),LevelApp,Actively hiring,Hyderabad,₹ 5,15000.0,3,1 week ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-hyderabad-at-levelapp1750764493
Marathi Dataset Building – Image Collection (iPhone Only),Indiaum Solutions,Actively hiring,Workfromhome,,10000.0,2,1 week ago,,https://internshala.com/internship/detail/work-from-home-marathi-dataset-building--image-collection-iphone-only-internship-at-indiaum-solutions1750764321
Accounting & Taxation,John Anthony & Co,Actively hiring,Chennai,,2500.0,3,1 week ago,,https://internshala.com/internship/detail/accounting-taxation-internship-in-chennai-at-john-anthony-co1750759691
Sales and Marketing,MaterialStudio.shop,,Bangalore,,27000.0,3,1 week ago,,https://internshala.com/internship/detail/part-time-sales-and-marketing-internship-in-bangalore-at-materialstudioshop1750764058
Sales and Marketing,Artmansha,Actively hiring,Bangalore,₹ 2.6,12000.0,6,1 week ago,,https://internshala.com/internship/detail/sales-and-marketing-internship-in-bangalore-at-artmansha1750764086
Regional Language Text Dataset Creation,Indiaum Solutions,Actively hiring,Workfromhome,,10000.0,2,1 week ago,,https://internshala.com/internship/detail/work-from-home-regional-language-text-dataset-creation-internship-at-indiaum-solutions1750764066
OCR Data Contribution (Hindi/Marathi Image Collector),Indiaum Solutions,Actively hiring,Workfromhome,,10000.0,2,1 week ago,,https://internshala.com/internship/detail/work-from-home-ocr-data-contribution-hindi-marathi-image-collector-internship-at-indiaum-solutions1750764007
Marathi Image Collection – Field Data Contributor (iPhone Required),Indiaum Solutions,Actively hiring,Workfromhome,,10000.0,2,1 week ago,Be an early applicant,https://internshala.com/internship/detail/work-from-home-marathi-image-collection--field-data-contributor-iphone-required-internship-at-indiaum-solutions1750763986
Digital Marketing,Iwns Marine,,Mumbai,,13000.0,6,1 week ago,,https://internshala.com/internship/detail/digital-marketing-internship-in-mumbai-at-iwns-marine1750756700
Multilingual Image Collection – IPhone Required,Indiaum Solutions,Actively hiring,Workfromhome,,10000.0,2,1 week ago,,https://internshala.com/internship/detail/work-from-home-multilingual-image-collection--iphone-required-internship-at-indiaum-solutions1750763904
Business Development (Sales),EVA2Z,Actively hiring,Noida,₹ 3.5,18000.0,3,1 week ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-noida-at-eva2z1750756681
Video Editing/Making,Marcadors Marketing Private Limited,,Noida,,5000.0,3,1 week ago,,https://internshala.com/internship/detail/video-editing-making-internship-in-noida-at-marcadors-marketing-private-limited1750756567
State Insurance,Axi Workforce Pvt Ltd,Actively hiring,"Udhampur,Kathua,Rajauri",,15000.0,6,1 week ago,Be an early applicant,https://internshala.com/internship/detail/state-insurance-internship-in-multiple-locations-at-axi-workforce-pvt-ltd1750763802
3D Data Contribution (IPhone Pro Based),Indiaum Solutions,Actively hiring,Workfromhome,,10000.0,3,1 week ago,,https://internshala.com/internship/detail/work-from-home-3d-data-contribution-iphone-pro-based-internship-at-indiaum-solutions1750763735
Reality Capture (3D Modelling),Indiaum Solutions,Actively hiring,Workfromhome,,10000.0,2,1 week ago,,https://internshala.com/internship/detail/work-from-home-reality-capture-3d-modelling-internship-at-indiaum-solutions1750763707
Business Development Manager,Kosqu Technolabs,,Mumbai,₹ 5,20000.0,3,1 week ago,,https://internshala.com/internship/detail/business-development-manager-internship-in-mumbai-at-kosqu-technolabs1750763663
3D Object Modelling (IPhone Pro Required),Indiaum Solutions,Actively hiring,Workfromhome,,10000.0,2,1 week ago,,https://internshala.com/internship/detail/work-from-home-3d-object-modelling-iphone-pro-required-internship-at-indiaum-solutions1750763650
Client Application Specialisation,Bridge2job,Actively hiring,Workfromhome,,12000.0,6,1 week ago,,https://internshala.com/internship/detail/work-from-home-client-application-specialisation-internship-at-bridge2job1750763604
Video Editing/Making,Handcrafted By Arunima,,"Delhi,Gurgaon",,6000.0,3,1 week ago,,https://internshala.com/internship/detail/video-editing-making-internship-in-multiple-locations-at-handcrafted-by-arunima1750763414
Hospitality,2COMS Consulting Private Limited,,Auckland(NewZealand),,25000.0,6,1 week ago,,https://internshala.com/internship/detail/hospitality-internship-in-auckland-at-2coms-consulting-private-limited1750763275
Content and Social Media Marketing,Möretec,,Workfromhome,,1001.0,2,1 week ago,,https://internshala.com/internship/detail/work-from-home-content-and-social-media-marketing-internship-at-mretec1750763238
Content and Social Media Marketing,PYB Travels,,Chandigarh,,10000.0,3,1 week ago,,https://internshala.com/internship/detail/part-time-content-and-social-media-marketing-internship-in-chandigarh-at-pyb-travels1750763237
Video Editing/Making,Binks,,Bangalore,,30000.0,6,1 week ago,Be an early applicant,https://internshala.com/internship/detail/video-editing-making-internship-in-bangalore-at-binks1750755973
