,intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),posted_time,early_applicant,apply_links
921,Hotel Management (Operations),Offbeat Marketing & Communication,,Ahmedabad,,"5,000 - 7,000",6,3 days ago,Be an early applicant,https://internshala.com/internship/detail/hotel-management-operations-internship-in-ahmedabad-at-offbeat-marketing-communication1750419027
922,Telecalling,SkyZers,,Ludhiana,,"10,000 - 27,000",6,3 days ago,Be an early applicant,https://internshala.com/internship/detail/telecalling-internship-in-ludhiana-at-skyzers1750418611
923,Business Development (Sales),Brand2Client,,Workfromhome,₹ 5,"8,000 - 14,000",3,3 days ago,,https://internshala.com/internship/detail/work-from-home-part-time-business-development-sales-internship-at-brand2client1750418518
924,Social Media Marketing,Centre For Strategy And Leadership,,Delhi,,"5,000 - 15,000",4,3 days ago,,https://internshala.com/internship/detail/social-media-marketing-internship-in-delhi-at-centre-for-strategy-and-leadership1750418162
925,Human Resources (HR),Tapi Prestressed Products Limited,,Pune,,"3,000 - 5,000",,3 days ago,,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-tapi-prestressed-products-limited1750418075
926,Search Engine Optimization (SEO),Kyros Corporate Services Private Limited,,Thane,,"5,000 - 10,000",6,3 days ago,Be an early applicant,https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-thane-at-kyros-corporate-services-private-limited1750417980
927,Material Research,Refash,,Delhi,,"5,000 - 8,000",6,3 days ago,,https://internshala.com/internship/detail/material-research-internship-in-delhi-at-refash1750417952
928,Business Development Executive,Kraft Creation Studio,,Indore,,"5,000 - 8,000",3,3 days ago,Be an early applicant,https://internshala.com/internship/detail/business-development-executive-internship-in-indore-at-kraft-creation-studio1750417603
929,SEO (YouTube),The Trading Fox,Actively hiring,Jaipur,₹ 3,"15,000 - 20,000",2,3 days ago,,https://internshala.com/internship/detail/seo-youtube-internship-in-jaipur-at-the-trading-fox1750417167
930,Full Stack Development,Pixel AI Media,Actively hiring,Workfromhome,,"4,000 - 5,000",3,3 days ago,,https://internshala.com/internship/detail/work-from-home-part-time-full-stack-development-internship-at-pixel-ai-media1750417126
931,Sales,Royal Blue City Developers Private Limited,,Gurgaon,₹ 4,"12,000 - 15,000",6,3 days ago,,https://internshala.com/internship/detail/sales-internship-in-gurgaon-at-royal-blue-city-developers-private-limited1750417003
932,SEO (YouTube),The Trading Fox,Actively hiring,Jaipur,₹ 3,"15,000 - 20,000",6,3 days ago,,https://internshala.com/internship/detail/part-time-seo-youtube-internship-in-jaipur-at-the-trading-fox1750416978
933,Video Editing,The Trading Fox,Actively hiring,Jaipur,₹ 3,"15,000 - 20,000",2,3 days ago,,https://internshala.com/internship/detail/video-editing-internship-in-jaipur-at-the-trading-fox1750416851
934,Business Development (Sales),Fluid Labs,,Ahmedabad,,"2,000 - 8,000",3,3 days ago,Be an early applicant,https://internshala.com/internship/detail/business-development-sales-internship-in-ahmedabad-at-fluid-labs1750416796
935,VFX And Digital Intermediate (DI),Lateral Works Studio,Actively hiring,Vasai,,"8,000 - 10,000",6,3 days ago,Be an early applicant,https://internshala.com/internship/detail/vfx-and-digital-intermediate-di-internship-in-vasai-at-lateral-works-studio1750416726
936,UI/UX Design,Flickstree,Actively hiring,Workfromhome,,,6,3 days ago,,https://internshala.com/internship/detail/work-from-home-ui-ux-design-internship-at-flickstree1750416615
937,Sales Manager,Yellowshark,,Workfromhome,,,3,3 days ago,,https://internshala.com/internship/detail/work-from-home-sales-manager-internship-at-yellowshark1750416466
938,Instagram Marketing,Pawzz,Actively hiring,Gurgaon,₹ 5,"13,000 - 25,000",4,3 days ago,,https://internshala.com/internship/detail/part-time-instagram-marketing-internship-in-gurgaon-at-pawzz1750416367
939,Social Media Marketing,The Trading Fox,Actively hiring,Jaipur,₹ 3,"15,000 - 20,000",6,3 days ago,,https://internshala.com/internship/detail/social-media-marketing-internship-in-jaipur-at-the-trading-fox1750416336
940,Sales,Arivu Educational Consultants Private Limited,Actively hiring,Bangalore,,,6,3 days ago,,https://internshala.com/internship/detail/part-time-sales-internship-in-bangalore-at-arivu-educational-consultants-private-limited1750416280
941,Business Development (Sales),Cloudnix Software Labs Private Limited,,Bangalore,₹ 2,"8,000 - 10,000",6,3 days ago,Be an early applicant,https://internshala.com/internship/detail/business-development-sales-internship-in-bangalore-at-cloudnix-software-labs-private-limited1750408986
942,Business Development (Sales),Tortoise Systems Private Limited,,Gurgaon,,"10,000 - 20,000",6,3 days ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-gurgaon-at-tortoise-systems-private-limited1750415804
943,International Business Development,Yogaamie,Actively hiring,Workfromhome,₹ 4,"15,000 - 30,000",2,3 days ago,,https://internshala.com/internship/detail/work-from-home-international-business-development-internship-at-yogaamie1750415739
944,Full Stack Development,Enpointe,Actively hiring,Mumbai,₹ 4,"15,000 - 25,000",5,3 days ago,,https://internshala.com/internship/detail/full-stack-development-internship-in-mumbai-at-enpointe1750415643
945,Graphic Design,Pawzz,Actively hiring,Gurgaon,₹ 4.5,"16,000 - 30,000",6,3 days ago,,https://internshala.com/internship/detail/graphic-design-internship-in-gurgaon-at-pawzz1750415400
946,Script Writer (Finance),The Trading Fox,Actively hiring,Jaipur,₹ 3,"15,000 - 20,000",6,3 days ago,,https://internshala.com/internship/detail/script-writer-finance-internship-in-jaipur-at-the-trading-fox1750415358
947,Video Editing/Making,NOMI Flavours,,Mumbai,,"10,000 - 13,000",6,3 days ago,Be an early applicant,https://internshala.com/internship/detail/video-editing-making-internship-in-mumbai-at-nomi-flavours1750415024
948,Tech,UNIABROAD,,"Mysuru,Bangalore",,"7,500 - 8,000",2,3 days ago,,https://internshala.com/internship/detail/tech-internship-in-multiple-locations-at-uniabroad1750415184
949,Business Development (Sales),TecPhygit,,Workfromhome,,,2,3 days ago,Be an early applicant,https://internshala.com/internship/detail/work-from-home-business-development-sales-internship-at-tecphygit1750414941
950,Artificial Intelligence (AI),Tax-O-Smart LLP,Actively hiring,Mumbai,,"8,000 - 10,000",6,3 days ago,,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-mumbai-at-tax-o-smart-llp1750414642
951,Project Management,Medventures,Actively hiring,Workfromhome,,"4,000 - 15,000",3,3 days ago,,https://internshala.com/internship/detail/work-from-home-part-time-project-management-internship-at-medventures1750414610
952,Sales and Marketing,Finvestology,,Lucknow,,"2,500 - 4,000",2,3 days ago,Be an early applicant,https://internshala.com/internship/detail/sales-and-marketing-internship-in-lucknow-at-aashkar-husain1750414570
953,Lead Generation,Wayspire Ed-Tech Private Limited,Actively hiring,Workfromhome,,"1,500 - 15,000",,3 days ago,,https://internshala.com/internship/detail/work-from-home-part-time-lead-generation-internship-at-wayspire-ed-tech-private-limited1750413915
954,Business Development (Sales),Wayspire Ed-Tech Private Limited,Actively hiring,Gurgaon,₹ 4.5,"15,000 - 18,000",6,3 days ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-gurgaon-at-wayspire-ed-tech-private-limited1750413937
955,Brand Marketing,Wayspire Ed-Tech Private Limited,Actively hiring,Workfromhome,,"2,000 - 10,000",,3 days ago,,https://internshala.com/internship/detail/work-from-home-part-time-brand-marketing-internship-at-wayspire-ed-tech-private-limited1750413901
956,College Representative,Wayspire Ed-Tech Private Limited,Actively hiring,Workfromhome,,"2,500 - 15,000",,3 days ago,,https://internshala.com/internship/detail/work-from-home-part-time-college-representative-internship-at-wayspire-ed-tech-private-limited1750413800
957,Music Producer,BabyCloud,,Workfromhome,,"3,000 - 5,000",3,3 days ago,,https://internshala.com/internship/detail/work-from-home-music-producer-internship-at-babycloud1750413719
958,Social Media Marketing,Mensa Brand Technologies Private Limited,Actively hiring,Bangalore,₹ 5,"18,000 - 20,000",3,3 days ago,,https://internshala.com/internship/detail/social-media-marketing-internship-in-bangalore-at-mensa-brand-technologies-private-limited1750413535
959,Video Editing/Making,Rohit  Kaku,Actively hiring,"Ulhasnagar,Dombivli,Kalyan,Ambernath",,"7,000 - 10,000",3,3 days ago,,https://internshala.com/internship/detail/part-time-video-editing-making-internship-in-multiple-locations-at-rohit-kaku1750413330
960,Web Development,Pawzz,Actively hiring,Gurgaon,,"10,000 - 15,000",2,3 days ago,,https://internshala.com/internship/detail/web-development-internship-in-gurgaon-at-pawzz1750413242
961,Content & E-Commerce Management,Codeacious Technologies Private Limited,Actively hiring,Workfromhome,,"5,000 - 7,000",6,3 days ago,,https://internshala.com/internship/detail/work-from-home-content-e-commerce-management-internship-at-codeacious-technologies-private-limited1750413007
962,Finance Analysis,Talent Corner HR Services,Actively hiring,Mumbai,,,3,3 days ago,,https://internshala.com/internship/detail/finance-analysis-internship-in-mumbai-at-talent-corner-hr-services1750412996
963,Graphic Design,Maa Sarala Agro Foods,Actively hiring,Workfromhome,,"5,100 - 5,101",2,3 days ago,,https://internshala.com/internship/detail/work-from-home-graphic-design-internship-at-maa-sarala-agro-foods1750412717
964,Software Development,Amber Flux Private Limited,Actively hiring,Workfromhome,,"9,999 - 10,000",2,3 days ago,,https://internshala.com/internship/detail/work-from-home-part-time-software-development-internship-at-amber-flux-private-limited1750405033
965,Software Developer,Talent Corner HR Services,Actively hiring,Mumbai,,,3,3 days ago,,https://internshala.com/internship/detail/software-developer-internship-in-mumbai-at-talent-corner-hr-services1750411971
966,AI Prompt Expert,The Trading Fox,Actively hiring,Jaipur,₹ 3,"15,000 - 20,000",2,3 days ago,,https://internshala.com/internship/detail/ai-prompt-expert-internship-in-jaipur-at-the-trading-fox1750411873
967,Account Executive,Talent Corner HR Services,Actively hiring,Mumbai,,,3,3 days ago,,https://internshala.com/internship/detail/account-executive-internship-in-mumbai-at-talent-corner-hr-services1750411788
968,Digital Marketing,SG People Trust,,Workfromhome,,,6,3 days ago,,https://internshala.com/internship/detail/work-from-home-part-time-digital-marketing-internship-at-sg-people-trust1750404486
969,Scholarship Marketing,WeMakeScholars,Actively hiring,"Mangalore,Manipal,Mysuru,Warangal,Dharwad,Secunderabad,Bidar,Kothagudem,Hyderabad,Kolar,Mandya,Bangalore,Alwal,MedchalDistrict",,"6,000 - 12,000",,3 days ago,,https://internshala.com/internship/detail/scholarship-marketing-internship-in-multiple-locations-at-wemakescholars1750411721
970,HR Recruitment,Talent Corner HR Services,Actively hiring,Mumbai,,,3,3 days ago,,https://internshala.com/internship/detail/hr-recruitment-internship-in-mumbai-at-talent-corner-hr-services1750411695
971,Data Science,Primetrade.ai,Actively hiring,Workfromhome,,"10,000 - 15,000",6,3 days ago,,https://internshala.com/internship/detail/work-from-home-data-science-internship-at-primetradeai1750411499
972,Python Development,Primetrade.ai,Actively hiring,Workfromhome,,"10,000 - 15,000",6,3 days ago,,https://internshala.com/internship/detail/work-from-home-python-development-internship-at-primetradeai1750411388
973,Content Writing,Goodera,Actively hiring,Bangalore,,"12,000 - 15,000",3,3 days ago,,https://internshala.com/internship/detail/content-writing-internship-in-bangalore-at-goodera1750411239
974,Sales and Marketing,L3M Tradrs,,"Faridabad,Gurgaon",,"5,000 - 7,500",2,3 days ago,,https://internshala.com/internship/detail/sales-and-marketing-internship-in-multiple-locations-at-l3m-tradrs1750403879
975,Search Engine Optimization (SEO),99isolutions,,Jaipur,,"2,000 - 7,000",3,3 days ago,Be an early applicant,https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-jaipur-at-99isolutions1750403849
976,Sales and Marketing,LivNSense,Actively hiring,Bangalore,,"5,000 - 10,000",6,3 days ago,,https://internshala.com/internship/detail/sales-and-marketing-internship-in-bangalore-at-livnsense1750411015
977,Quality Analyst,Resolute AI Software Private Limited,Actively hiring,Workfromhome,,"5,000 - 8,000",3,3 days ago,,https://internshala.com/internship/detail/work-from-home-quality-analyst-internship-at-resolute-ai-software-private-limited1750410907
978,Human Resources (HR) Manager,Freight Commerce Solutions Private Limited,,Mumbai,,"7,000 - 8,000",3,3 days ago,,https://internshala.com/internship/detail/human-resources-hr-manager-internship-in-mumbai-at-freight-commerce-solutions-private-limited1750410700
979,Java Development,Tax-O-Smart LLP,Actively hiring,Mumbai,,"8,000 - 12,000",6,3 days ago,,https://internshala.com/internship/detail/java-development-internship-in-mumbai-at-tax-o-smart-llp1750410460
980,Accounts,Prozone Realty Limited,,Nagpur,,"10,000 - 12,000",3,3 days ago,,https://internshala.com/internship/detail/accounts-internship-in-nagpur-at-prozone-realty-limited1750410451
981,Project Management,The Concept Company,,Mumbai,,"7,000 - 15,000",6,3 days ago,,https://internshala.com/internship/detail/project-management-internship-in-mumbai-at-the-concept-company1750409982
982,Node.js Development,Factacy.Ai,Actively hiring,Gurgaon,,,3,3 days ago,,https://internshala.com/internship/detail/nodejs-development-internship-in-gurgaon-at-factacyai1750409934
983,Business Development (Sales),Mentorprime,Actively hiring,Workfromhome,,,6,3 days ago,,https://internshala.com/internship/detail/work-from-home-part-time-business-development-sales-internship-at-mentorprime1750409622
984,Influencer Marketing,Maliao,,Delhi,,"12,000 - 18,000",3,3 days ago,,https://internshala.com/internship/detail/influencer-marketing-internship-in-delhi-at-maliao1750402166
985,Operations,Eduminatti,Actively hiring,Workfromhome,,"5,000 - 10,000",2,3 days ago,,https://internshala.com/internship/detail/work-from-home-part-time-operations-internship-at-eduminatti1750408434
986,Content Writing,Eduminatti,Actively hiring,Workfromhome,,"5,000 - 10,000",2,3 days ago,,https://internshala.com/internship/detail/work-from-home-part-time-content-writing-internship-at-eduminatti1750408427
